year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2017,entrance,2017-10-01,Total,26029,1,metro,Azul,Blue
2017,entrance,2017-10-01,Total,13219,2,metro,Verde,Green
2017,entrance,2017-10-01,Total,30557,3,metro,Vermelha,Red
2017,entrance,2017-10-01,Total,6427,5,metro,Lilás,Lilac
2017,entrance,2017-10-01,Total,260,15,metro,Prata,Silver
2017,entrance,2017-10-01,Total,76491,99,metro,Sistema METRO,METRO System
2017,entrance,2017-10-01,Média dos dias úteis,1059,1,metro,Azul,Blue
2017,entrance,2017-10-01,Média dos dias úteis,555,2,metro,Verde,Green
2017,entrance,2017-10-01,Média dos dias úteis,1224,3,metro,Vermelha,Red
2017,entrance,2017-10-01,Média dos dias úteis,264,5,metro,Lilás,Lilac
2017,entrance,2017-10-01,Média dos dias úteis,12,15,metro,Prata,Silver
2017,entrance,2017-10-01,Média dos dias úteis,3114,99,metro,Sistema METRO,METRO System
2017,entrance,2017-10-01,Média dos Sábados,569,1,metro,Azul,Blue
2017,entrance,2017-10-01,Média dos Sábados,233,2,metro,Verde,Green
2017,entrance,2017-10-01,Média dos Sábados,684,3,metro,Vermelha,Red
2017,entrance,2017-10-01,Média dos Sábados,149,5,metro,Lilás,Lilac
2017,entrance,2017-10-01,Média dos Sábados,4,15,metro,Prata,Silver
2017,entrance,2017-10-01,Média dos Sábados,1637,99,metro,Sistema METRO,METRO System
2017,entrance,2017-10-01,Média dos Domingos,291,1,metro,Azul,Blue
2017,entrance,2017-10-01,Média dos Domingos,142,2,metro,Verde,Green
2017,entrance,2017-10-01,Média dos Domingos,405,3,metro,Vermelha,Red
2017,entrance,2017-10-01,Média dos Domingos,57,5,metro,Lilás,Lilac
2017,entrance,2017-10-01,Média dos Domingos,1,15,metro,Prata,Silver
2017,entrance,2017-10-01,Média dos Domingos,895,99,metro,Sistema METRO,METRO System
2017,entrance,2017-10-01,Máxima Diária,1118,1,metro,Azul,Blue
2017,entrance,2017-10-01,Máxima Diária,569,2,metro,Verde,Green
2017,entrance,2017-10-01,Máxima Diária,1288,3,metro,Vermelha,Red
2017,entrance,2017-10-01,Máxima Diária,280,5,metro,Lilás,Lilac
2017,entrance,2017-10-01,Máxima Diária,12,15,metro,Prata,Silver
2017,entrance,2017-10-01,Máxima Diária,3268,99,metro,Sistema METRO,METRO System
2017,entrance,2017-11-01,Total,24834,1,metro,Azul,Blue
2017,entrance,2017-11-01,Total,12437,2,metro,Verde,Green
2017,entrance,2017-11-01,Total,29305,3,metro,Vermelha,Red
2017,entrance,2017-11-01,Total,6348,5,metro,Lilás,Lilac
2017,entrance,2017-11-01,Total,269,15,metro,Prata,Silver
2017,entrance,2017-11-01,Total,73193,99,metro,Sistema METRO,METRO System
2017,entrance,2017-11-01,Média dos dias úteis,1077,1,metro,Azul,Blue
2017,entrance,2017-11-01,Média dos dias úteis,559,2,metro,Verde,Green
2017,entrance,2017-11-01,Média dos dias úteis,1240,3,metro,Vermelha,Red
2017,entrance,2017-11-01,Média dos dias úteis,274,5,metro,Lilás,Lilac
2017,entrance,2017-11-01,Média dos dias úteis,13,15,metro,Prata,Silver
2017,entrance,2017-11-01,Média dos dias úteis,3163,99,metro,Sistema METRO,METRO System
2017,entrance,2017-11-01,Média dos Sábados,571,1,metro,Azul,Blue
2017,entrance,2017-11-01,Média dos Sábados,229,2,metro,Verde,Green
2017,entrance,2017-11-01,Média dos Sábados,709,3,metro,Vermelha,Red
2017,entrance,2017-11-01,Média dos Sábados,155,5,metro,Lilás,Lilac
